NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
3CNERGY LIMITED                                             SG0502000029        502       3Cnergy
AERKOMM US$200K7.5%CB251202                                 XS2243298812        YJSB      Aerkomm cb7.5%251202S
AEROPUERTO US$555M4%N410811A                                US00787CAD48        TUHB      Aeropuerto n4%410811A
AEROPUERTO US$555M4%N410811R                                USP0092AAF68        LZSB      Aeropuerto n4%410811R
AEROPUERTOUS$1.3B5.125%610811A                              US00787CAE21        NOIB      Aeropuerton5.125%610811A
AEROPUERTOUS$1.3B5.125%610811R                              USP0092AAG42        JBYB      Aeropuerton5.125%610811R
AEROVIASDEMX US$400M7%N250205A                              US008065AD67        EVLB      AeroviasdeMex n7%250205A
AEROVIASDEMX US$400M7%N250205R                              USP0096BAA19        LCFB      AeroviasdeMex n7%250205R
AESPANA US$1.38B4.375%N300531A                              US00109AAB35        YN9B      AESPanama n4.375%300531A
AESPANA US$1.38B4.375%N300531R                              USP0608AAB28        JCHB      AESPanama n4.375%300531R
AEV INTL US$400M4.2%N300116                                 XS2093792013        QJMB      Aev Intl n4.2%300116S
AF GLOBAL LIMITED                                           SG1C01001033        L38       AF Global
AFTERPAY A$1.5B Z260312                                     XS2308602387        9CFB      Afterpay z260312S
AGILEGRP US$100M 6.875%PCS T                                XS1799643173        8QBB      AgileGrp6.875% PCS T
AGILEGRP US$200M 5.125%N220814                              XS1659119629        7H4B      AgileGrp n5.125%220814S
AGILEGRP US$200M7.75%PCS                                    XS2081524675        JMYB      AgileGrp7.75% PCS S
AGILEGRP US$300M5.5%N260517                                 XS2343627712        93WB      AgileGrp n5.5%260517S
AGILEGRP US$300M6.05%N251013                                XS2243343204        HANB      AgileGrp n6.05%251013S
AGILEGRP US$314M5.5%N250421                                 XS2361426559        YNXB      AgileGrp n5.5%250421S
AGILEGRP US$400M 6.875%PCS                                  XS1785422731        8LQB      AgileGrp6.875% PCS S
AGILEGRP US$400M4.85%N220831                                XS2382274376        HTLB      AgileGrp n4.85%220831S
AGILEGRP US$500M5.75%N250102                                XS2194361494        JBRB      AgileGrp n5.75%250102S
AGILEGRP US$500M7.875%PCS                                   XS2071413483        WH7B      AgileGrp7.875% PCS S
AGILEGRPUS$600M 8.375%PCS                                   XS2003471617        PQAB      AgileGrp8.375% PCS S
AGRICULTBKCHINA US$300M0.75%N240302                         XS2305450574        RTFB      AgriBkOfCh n0.75%240302S
AGRICULTBKCHINA US$300M1.25%N260302                         XS2305450657        9ABB      AgriBkOfCh n1.25%260302S
AGRICULTBKCHINA US$500MF220923                              XS2053843590        FPJB      AgriBkOfChina f220923S
AGRIDEVBKCN CNY2B3.8%B301027                                HK0000646957        EFUB      AgriDeBkCn b3.8%301027S
AGRIDEVBKCNCNY1.5B3.25%B251027                              HK0000646973        JVAB      AgriDeBkCn b3.25%251027S
AGRIDEVBKCNCNY1.75B2.9%B241102                              HK0000778198        NENB      AgriDeBkCn b2.9%241102S
AGRIDEVBKCNCNY1.7B3.05%B261102                              HK0000778206        DPSB      AgriDeBkCn b3.05%261102S
AGRIDEVBKCNCNY2.2B3.05%B231027                              HK0000646965        5W5B      AgriDeBkCn b3.05%231027S
AGRIDEVBKCNCNY550M3.35%B311102                              HK0000778214        YWYB      AgriDeBkCn b3.35%311102S
AGV GROUP LIMITED                                           SG1DB3000005        1A4       AGV
AIA 5XLONGSOCGEN 241213                                     LU2267116353        DWGW      AIA 5xLongSG241213
AIA 5XLONGUBS 250430                                        CH1169124075        QPCW      AIA 5xLongUB250430
AIA 5XSHORTSOCGEN 240125                                    LU2184317472        DUXW      AIA 5xShortSG240125
AIA 5XSHORTUBS 250430                                       CH1169124083        1X5W      AIA 5xShortUB250430
AIMS APAC REIT                                              SG2D63974620        O5RU      AIMS APAC Reit
AIMS APACREITS$100M3.6%N241112                              SGXF43003080        48IB      AIMS APACRn3.6%241112S
AIMS PROPERTY SECURITIES FUND                               AU000000APW5        BVP       AIMS Property
AIMSAPACREITS$125M5.65%PERSEC                               SGXF72350378        9LKB      AIMS APACR5.65%PerSecS
AIMSAPACREITS$250M5.375%PERSEC                              SGXF10875296        SGFB      AIMS APACR5.375%PerSecS
ALAMSYNERGYUS$225M9%190129A                                 US010733AB91        2X0B      AlamSyne9%190129A
ALAMSYNERGYUS$225M9%190129R                                 USY00371AB37        2X1B      AlamSyne9%190129R
ALAMSYNERGYUS$245M6.625%220424                              XS1504809499        60QB      AlamSyne n6.625%220424 S
ALCANDELA US$650M7.5%N281215A                               US001355AA49        NAFB      AlCandela n7.5%281215A
ALCANDELA US$650M7.5%N281215R                               USE0R75QAA61        MVJB      AlCandela n7.5%281215R
ALCANDSSA US$600M5.75%N330615A                              US00870WAA45        DOQB      AlCandSSA n5.75%330615A
ALCANDSSA US$600M5.75%N330615R                              USE0R75RAB28        FCDB      AlCandSSA n5.75%330615R
ALFA US$1.098618B4.55%N510927A                              US01538TAA34        NEOB      Alfa n4.55%510927A
ALFA US$1.098618B4.55%N510927R                              USP0R60QAA15        HBLB      Alfa n4.55%510927R
ALIBABA 5XLONGSOCGEN 230329                                 LU2267121783        DKCW      Alibaba 5xLongSG230329
ALIBABA 5XLONGSOCGEN 230504                                 LU2348854998        DDOW      Alibaba 5xLongSG230504
ALIBABA 5XLONGSOCGEN 230627                                 LU1986499025        DMBW      Alibaba 5xLongSG230627
ALIBABA 5XLONGSOCGEN 231214                                 LU2267115462        DVIW      Alibaba 5xLongSG231214
ALIBABA 5XLONGSOCGEN230627 A                                LU1986499298        DNFW      Alibaba 5xLongSG230627A
ALIBABA 5XLONGUBS 241231                                    CH1166430285        WA9W      Alibaba 5xLongUB241231
ALIBABA 5XLONGUBS 250430                                    CH1169124125        XBFW      Alibaba 5xLongUB250430
ALIBABA 5XSHORTSOCGEN 230330                                LU2348850905        DAJW      Alibaba 5xShortSG230330
ALIBABA 5XSHORTSOCGEN 230504                                LU2348855029        DCFW      Alibaba 5xShortSG230504
ALIBABA 5XSHORTUBS 250228                                   CH1169123549        IKRW      Alibaba 5xShortUB250228
ALIBABA 5XSHORTUBS 250430                                   CH1169124133        YJ7W      Alibaba 5xShortUB250430
ALIBABA MB ECW221004                                        SGXN40828679        HIMW      Alibaba MB eCW221004
ALIBABA MB ECW230404                                        SGXN37882697        PYQW      Alibaba MB eCW230404
ALIBABA MB EPW221202                                        SGXN89650695        XXMW      Alibaba MB ePW221202
ALIBABA MB EPW230404                                        SGXN32719506        MMXW      Alibaba MB ePW230404
ALIBABA US$1.5B2.125%N310209                                US01609WAX02        CVTB      Alibaba n2.125%310209S
ALIBABA US$1.5B3.15%N510209                                 US01609WAZ59        IEFB      Alibaba n3.15%510209S
ALIBABA US$1.75B4.2%N471206                                 US01609WAV46        8CWB      Alibaba n4.2%471206S
ALIBABA US$1B 4%N371206                                     US01609WAU62        8CTB      Alibaba n4%371206S
ALIBABA US$1B 4.4%N571206                                   US01609WAW29        8CUB      Alibaba n4.4%571206S
ALIBABA US$1B2.7%N410209                                    US01609WAY84        9IWB      Alibaba n2.7%410209S
ALIBABA US$1B3.25%N610209                                   US01609WBA99        MAKB      Alibaba n3.25%610209S
ALIBABA US$2.55B3.4%N271206                                 US01609WAT99        8CVB      Alibaba n3.4%271206S
ALIBABA US$700M2.8%N230606                                  US01609WAS17        8CSB      Alibaba n2.8%230606S
ALIBABA90 MB EPW221202                            PL        SGXN82363049        V8RW      Alibaba90 MB ePW221202
ALIHLTH 5XLONGSOCGEN 231012                                 LU1986502778        DXZW      ALIHLTH 5xLongSG231012
ALITA RESOURCES LIMITED                                     AU0000031270        40F       Alita Resources
ALLGREEN S$250M3.15%N250116                                 SGXF82593314        LGPB      Allgreen n3.15%250116S
ALLIANCE HEALTHCARE GROUP LTD                               SGXE65282837        MIJ       Alliance HC
ALLIED TECHNOLOGIES LIMITED                                 SG1O07910928        A13       Allied Tech
ALPHA DX GROUP LTD                                          SGXE43564132        VVL       AlphaDX
ALPHA HLDG US$300M10%N221219A                               US02074AAA25        8NAB      AlphaHldg n10%221219A
ALPHA HLDG US$300M10%N221219R                               USP1000TAA53        8NBB      AlphaHldg n10%221219R
ALPHA HLDG US$400M9%N250210A                                US02074AAB08        9CUB      AlphaHldg n9%250210A
ALPHA HLDG US$400M9%N250210R                                USP1000TAB37        QEMB      AlphaHldg n9%250210R
ALPINA HOLDINGS LIMITED                                     SGXE21011833        ZXY       Alpina Holdings
ALSEA USD500M7.75%N261214A                                  US021151AA35        GTGB      Alsea n7.75%261214A
ALSEA USD500M7.75%N261214R                                  USP0R38AAA53        VRLB      Alsea n7.75%261214R
ALSET INTERNATIONAL LIMITED                                 SG1AE2000006        40V       Alset
ALUMINUM CORP OF CHINA ADR 10                               US0222761092        K3HD      ACH ADR US$
AMA GP A$50M4%N270322                                       XS2386304799        FAHB      AMA Gp n4%270322S
AMAGGI LUX U$750M5.25%N280128A                              US02265WAA36        GTWB      Amaggi Lux n5.25%280128A
AMAGGI LUX U$750M5.25%N280128R                              USL0183BAA90        92BB      Amaggi Lux n5.25%280128R
AMARA HOLDINGS LTD                                          SG1F08854688        A34       Amara
AMCOR EUR300M2.75%230322                                    XS0907606379        2RSB      Amcor n2.75%230322S
AMCORP GLOBAL LIMITED                                       SG2F79993489        S9B       Amcorp Global
AMERICAMOVUS$1B5.375%N320404A                               US03217KAB44        LKUB      AmericaM n5.375%320404A
AMERICAMOVUS$1B5.375%N320404R                               USP0R80BAG79        JGYB      AmericaM n5.375%320404R
AMOS GROUP LTD                                              SGXE89972934        49B       AMOS Group
AMPLEFIELD LIMITED                                          SG1AG0000003        AOF       Amplefield Ltd
AMPLEFIELD LIMITED W221218                                  SG5GA4000000        1G7W      Amplefield Ltd W221218
AMTD IDEA GROUP OV                                          KYG2957E1017        HKB       AMTD IDEA OV
AMTD INTL S$50M4.5%PERPSEC                                  XS2165872198        Q39B      AMTD Intl 4.5%PerSecS
AMTD INTL US$200M7.25%PERPSEC                               XS2161843789        FJFB      AMTD Intl 7.25%PerSecS
AMTEK INDIA US$70M2.5%CB170921                              XS0828492206        2IGB      AmtekIndc2.5%170921S
ANAHOLDINGS JPY150B Z311210                                 XS2413708442        QYCB      ANAHoldings z311210S
ANAHOLDINGS JPY70B Z220916                                  XS1673841885        7X0B      ANAHoldings z220916S
ANAHOLDINGS JPY70B Z240919                                  XS1673858426        7W9B      ANAHoldings z240919S
ANAN INTERNATIONAL LIMITED                                  BMG036111034        Y35       AnAn Intl
ANCHUN INTERNATIONAL HLDGS LTD                              SG1CI5000000        BTX       Anchun Intl
ANLLIANCAPITAL EUR1B Z250205                                XS2089160506        VQLB      AnllianCapital z250205S
ANNAIK LIMITED                                              SG1O45913009        A52       AnnAik
ANNAIK LIMITED W241009                                      SGXN58836366        VAIW      AnnAik W241009
ANNICA HOLDINGS LIMITED                                     SG1J70891671        5AL       Annica
ANTA 5XLONGSOCGEN 231019                                    LU2267112014        DZDW      ANTA 5xLongSG231019
ANTA 5XLONGSOCGEN 240620                                    LU2348855706        DBPW      ANTA 5xLongSG240620
ANTA 5XLONGUBS 250430                                       CH1169123952        QTTW      ANTA 5xLongUB250430
ANTA 5XSHORTSOCGEN 231019                                   LU2267112105        DXGW      ANTA 5xShortSG231019
ANTA 5XSHORTUBS 250430                                      CH1169123960        OMYW      ANTA 5xShortUB250430
AOXIN Q & M DENTAL GRP LIMITED                              SG1DF9000000        1D4       Aoxin Q & M
AOZORA BK US$300M1.05%B240909                               XS2383887598        GXTB      AozoraBk b1.05%240909S
AOZORA BK US$300M2.55%B220909                               XS2047472613        IINB      AozoraBk b2.55%220909S
AOZORA BK US$300M2.75%B200309                               XS1567177115        6G3B      AozoraBk b2.75%200309S
AP OIL INTERNATIONAL LIMITED                                SG1K10892752        5AU       AP Oil
APA INFRA EUR500M1.25%N330315                               XS2315784806        PZEB      APA Infra n1.25%330315S
APA INFRA EUR600M0.75%N290315                               XS2315784715        YMDB      APA Infra n0.75%290315S
APA INFRA EUR600M2%N300715                                  XS2164646304        GMEB      APA Infra n2%300715S
APA INFRA EUR650M2%N270322                                  XS1205616698        26NB      APA Infra n2%270322S
APA INFRA GBP250M2.5%N360315                                XS2315784988        QUBB      APA Infra n2.5%360315S
APA INFRA GBP350M4.25%N241126                               XS0858000606        2MGB      APA Infra 4.25%241126S
APA INFRA GBP400M3.125%N310718                              XS1963555534        JDWB      APA Infra n3.125%310718S
APA INFRA GBP600M3.5%N300322                                XS1205617829        26OB      APA Infra n3.5%300322S
APA INFRA JPY10B1.025%N340613                               XS2008992880        ILGB      APA Infra n1.025%340613S
APAC REALTY LIMITED                                         SG1DJ0000001        CLN       APAC Realty
APLREALTYHLDUS300M5.95%N240602                              XS1617833584        71YB      APLRealty n5.95%240602S
ARA LOGOS S$100M5.5% PERP                                   SG7MA2000006        8GVB      ARA LOGOS 5.5% PS
ARA US HOSPITALITY TRUST                                    SGXC80011726        XZL       ARA HTrust USD
ARAAMS$100M4.15%N240423                                     SGXF61065755        YE7B      ARAAM n4.15%240423S
ARAAMS$300M5.65%PERPSEC                                     SG7ND7000003        8MCB      ARAAMn5.65%PerSec S
ARAAMS$350M5.6%PERPSEC                                      SGXF15643061        UFEB      ARAAMn5.6%PerpSec S
AREIT 5XLONGSOCGEN 221208                                   LU1986495031        DXAW      AREIT 5xLongSG221208
AREIT 5XLONGSOCGEN 230404                                   LU1986497086        DQAW      AREIT 5xLongSG230404
AREIT 5XSHORTSOCGEN 221208                                  LU1986495114        DGBW      AREIT 5xShortSG221208
AREIT 5XSHORTSOCGEN 231214                                  LU1986504717        DGEW      AREIT 5xShortSG231214
ARION ENTERTAINMENT SPORE LTD                               SGXE42663133        YYB       Arion Ent
ASAHI ML USD380M4.1%PERPBOND                                XS2282238083        9GEB      Asahi ML 4.1%PerpBondS
ASAHI ML USD430M6.5%PERPBOND                                XS1852563086        PLNB      Asahi ML 6.5%PerpBondS
ASAHI REFINING US$200M Z260316                              XS2306982286        55OB      Asahi Refining z260316S
ASAHIGRP EUR600M0.336%B270419                               XS2328981431        YA7B      AsahiGrp b0.336%270419S
ASAHIGRP EUR600M1.151%B250919                               XS1577951715        7X2B      AsahiGrp b1.151%250919S
ASAHIGRP EUR800M0.01%B240419                                XS2328980979        XRBB      AsahiGrp b0.01%240419S
ASAHIGRP EUR800M0.155%B241023                               XS2242747181        8O3B      AsahiGrp b0.155%241023S
ASAHIGRP EUR800M0.541%B281023                               XS2242747348        58FB      AsahiGrp b0.541%281023S
ASCENDAS INDIA TRUST                                        SG1V35936920        CY6U      Ascendas-iTrust
ASCENDAS REAL ESTATE INV TRUST                              SG1M77906915        A17U      Ascendas Reit
ASCENDAS REIT MB ECW221101                                  SGXN72082625        HHKW      AscendasReit MBeCW221101
ASCENDAS S$200M3.265%N250906                                SGXF70974849        XFMB      Ascendas n3.265%250906S
ASCENDASH-BTS$70M3.325%N220923                              SG74H3000003        4U4B      Asc HR-BTsn3.325%220923S
ASCENDASPTE S$75M3.5%260324                                 SG71F6000000        3U9B      AscendasPte n3.5%260324S
ASCENDASPTELTDS$200M3.5%230118                              SG70J2000008        38ZB      AscendasPten3.5%230118S
ASCENDASR S$208M3.468%N290419                               SGXF98299294        ZH4B      AscendasRn3.468%290419S
ASCENDASREIT S$200M2.47%230810                              SG7FD5000001        7F4B      AscendasR n2.47%230810S
ASCENDASREITEUR300M0.75%280623                              XS2349343090        9RDB      AscendasR n0.75%280623S
ASCENDASREITHK$1.45B3.57%29032                              XS1966016948        EEEB      AscendasR n3.57%290320S
ASCENDASREITHK$729M3.66%250516                              XS1821449243        8UPB      AscendasR n3.66%250516S
ASCENDASREITHKD661M3.08%320217                              XS2448395843        RPIB      AscendasR n3.08%320217S
ASCENDASREITHKD950M2.63%311024                              XS2403268258        9MWB      AscendasR n2.63%311024S
ASCENDASREITS$100M2.65%N300826                              SGXF53470518        98NB      AscendasR n2.65%300826S
ASCENDASREITS$200M3.14%N250302                              SG7NA4000002        8KUB      AscendasR n3.14%250302S
ASCENDASREITS$300M3%PERSEC                                  SGXF50149396        SJDB      AscendasR 3%PerSecS
ASCENT BRIDGE LIMITED                                       SG1AJ1000006        AWG       Ascent Bridge^
ASCOTT REIT S$150M3.88%PERPSEC                              SGXF19322878        KNMB      AscottReit3.88%PerSec S
ASCOTT RESIDENCE TRUST                                      SGXC16332337        HMN       Ascott Trust
ASCOTTREIT S$250M3.07%PERPSEC                               SG6YC3000008        31XB      AscottReit3.07%PerSecS
ASCOTTRMTN EUR80M2.75% N241219                              XS1150786074        22OB      AscottRMn2.75%241219S
ASCOTTRMTN S$120M 4% N240322                                SG71F2000004        3U6B      AscottRMn4%240322S
ASCOTTRMTNS$100M 3.523%N231109                              SGXF25483649        YYTB      AscottRM n3.523%231109S
ASCOTTRMTNS$200M 3.63%N270420                               SGXF16539490        WCRB      AscottRM n3.63%270420S
ASCOTTRMTNS$200M 4.205%N221123                              SG6ZJ0000003        37NB      AscottRM n4.205%221123S
ASIA CEMENT US$215M Z230921                                 XS1819591345        MQHB      AsiaCement z230921S
ASIA ENTERPRISES HOLDING LTD                                SG1S11926551        A55       Asia Enterprises
ASIA VETS HOLDINGS LTD.                                     SG2B95959500        5RE       Asia Vets
ASIAMEDIC LIMITED                                           SG0505000059        505       AsiaMedic
ASIAN HEALTHCARE SPECIALISTS                                SG1ED9000003        1J3       Asian Healthcare
ASIAN MICRO HOLDINGS LTD                                    SG1H05873721        585       Asian Micro
ASIAN PAY TELEVISION TRUST                                  SG2F77993036        S7OU      Asian Pay Tv Tr
ASIA-PACIFIC STRATEGIC INV LTD                              SG2B89959318        5RA       AP Strategic
ASIA-PACIFIC STRATEGIC W230130                              SG5GE6000000        1H7W      AP Strat W230130
ASIA-PACIFIC STRATEGIC W230726                              SGXN30935369        FIAW      AP Strat W230726
ASIAPHOS LIMITED                                            SG2G24997246        5WV       AsiaPhos
ASIATIC GROUP (HOLDINGS) LTD                                SG1N86910089        5CR       Asiatic
ASL MARINE HLDGS W240723                                    SGXN46430124        WG2W      ASL M W240723^
ASL MARINE HOLDINGS LTD                                     SG1N25909283        A04       ASL Marine^
A-SMART HOLDINGS LTD.                                       SG1CF3000008        BQC       A-Smart
A-SONIC AEROSPACE LIMITED                                   SG1CH8000009        BTJ       A-Sonic Aero
ASPEN (GROUP) HOLDINGS LIMITED                              SG1DI2000001        1F3       Aspen
ASPIAL CORPORATION LIMITED                                  SG1G71871634        A30       Aspial
ASPIAL S$50M6.5%N230320                                     SGXF39054444        SIIB      Aspial n6.5%230320S
ASPIAL TREA S$70M6%N240701                                  SGXF22368025        8V8B      AspialTrea n6%240701S
ASPIAL TREA S$75M6.15%N240122                               SGXF20337501        SILB      AspialTrea n6.15%240122S
ASTAKA HOLDINGS LIMITED                                     SG1CB5000005        42S       Astaka
ASTI HOLDINGS LIMITED                                       SG1G77872271        575       ASTI^
ASTREA III US$100M6.5%N260708                               XS1432391875        4H1B      AstreaIIIn6.5%260708S
ASTREA IV S$242M4.35%B280614                                SGXF92571078        RMRB      Astrea IV4.35%B280614#
ASTREA IV US$110M6.75%B280614                               XS1830904709        HXGB      AstreaIVb6.75%280614S
ASTREA IV US$210M5.5%B280614                                SGXF73912119        LUKB      AstreaIVb5.5%280614S
ASTREA V S$315M3.85%B290620                                 SGXF22124493        5A1B      Astrea V3.85%B290620#
ASTREA V US$140M5.75%B290620                                XS2006258896        IGTB      Astrea V 5.75%B290620S
ASTREA V US$230M4.5%B290620                                 XS2006258540        KDWB      Astrea V 4.5%B290620S
ASTREA VI S$382M3%B310318                                   SGXF34882443        6AZB      Astrea VI3%B310318#
ASTREA VI US$130M4.35%B310318                               XS2308495360        XD8B      Astrea VI 4.35%B310318S
ASTREA VI US$228M3.25%B310318                               XS2308478515        JNCB      Astrea VI 3.25%B310318S
ASTREA7CLA1S$526M4.125%320527                               SGXF50246630        V7AB      Astrea7A1 4.125%320527#
ASTREA7CLA2US$175M5.35%320527                               XS2480766158        W5NB      Astrea7A2 5.35%320527S
ASTREA7CLBUS$200M6%320527                                   SGXF67664494        V7BB      Astrea7B 6%320527#
ATENTO LUXCO US$500M8%N260210A                              US04684LAC28        HNLB      Atento Luxco n8%260210A
ATENTO LUXCO US$500M8%N260210R                              USL0427PAD89        5P7B      Atento Luxco n8%260210R
ATLANTIC NAVIGATION HLDG(S)LTD                              SG2F00983534        5UL       Atlantic Nav
AUCKLAND COU NOK1.4B 4%N280909                              XS0964196603        2ZFB      AucklandCouncil4%280909S
AUCKLANDC EUR500M0.125%N290926                              XS2055663764        KJIB      AucklandCn0.125%290926S
AUCKLANDC EUR500M0.25%B311117                               XS2407197545        9FXB      AucklandCb0.25%311117S
